Product_id,Product_name,Product_stock,Product_isActive,Brand_id,isactivated
1,A-Derma Dermalibour Plus Foaming Gel,1,TRUE,1,0
2,A-Derma Epitheliale A.H Duo Cream,1,TRUE,1,0
3,A-Derma Exomega Emollient Cream,1,TRUE,1,0
4,A-Derma Protect Fluid Cream SPF 50+,1,TRUE,1,0
5,ADVACORT 6MG TABLET,1,TRUE,1,0
6,Abact 250mg Tablet,1,TRUE,1,0
7,Abamlo 5 Tablet,1,TRUE,1,0
10,Abbott Supra Rize Cholecalciferol USP 60,000IU Capsule,1,TRUE,1,0
11,Abetorox 60 Tablet,1,TRUE,1,0
12,Abixim 200mg Tablet,1,TRUE,1,0
13,Abmetop 50 XL Tablet,1,TRUE,1,0
14,Abnib 250mg Tablet,1,TRUE,1,0
15,Abocal 500 Tablet,1,TRUE,1,0
16,Abtelmi-Amh Tablet,1,TRUE,1,0
17,Abtorsmed 10 Tablet,1,TRUE,1,0
18,Abturbi Cream,1,TRUE,1,0
19,Abvida-M 50/1000 Eazy Glide Tablet SR,1,TRUE,1,0
20,Abvida-M 50/500 Eazy Glide Tablet SR,1,TRUE,1,0
21,Acevah P 100 mg/325 mg Tablet,1,TRUE,1,0
22,Acigon Suspension,1,TRUE,1,0
23,Adequet 25 Tablet,1,TRUE,1,0
24,Adiza Tablet,1,TRUE,1,0
25,Advene 150mg Tablet,1,TRUE,1,0
26,Airtis 5mg Tablet,1,TRUE,1,0
27,Alinfec 500mg Injection,1,TRUE,1,0
28,Aluvia 200mg/50mg Tablet,1,TRUE,1,0
29,Ambistryn-S 1gm Injection,1,TRUE,1,0
30,Amexel 100mg Injection,1,TRUE,1,0
32,Amoxyclav 1000 mg/200 mg Injection,1,TRUE,1,0
33,Amoxyclav 375 Tablet,1,TRUE,1,0
34,Amoxyclav DS Syrup,1,TRUE,1,0
35,Amoxyclav Oral Suspension,1,TRUE,1,0
36,Ampidil 125mg Dry Syrup,1,TRUE,1,0
37,Anafortan Drop,1,TRUE,1,0
38,Anafortan Injection,1,TRUE,1,0
39,Anatensol 1mg Tablet,1,TRUE,1,0
40,Antoxipan DS Sachet Orange & Cooler Gluten Free,1,TRUE,1,0
41,Aquaviron 40mg Capsule,1,TRUE,1,0
42,Aquaviron Injection 1ml,1,TRUE,1,0
43,Arinac Forte 400mg/60mg Tablet,1,TRUE,1,0
45,Ascapil 12A Tablet DT,1,TRUE,1,0
46,Asert Plus 200mg/200mg Tablet,1,TRUE,1,0
47,Aspire Tablet XR,1,TRUE,1,0
48,Atp UP 60mg Tablet,1,TRUE,1,0
49,Avene Bright Intense Active Plus Brightening essence Serum,1,TRUE,1,0
50,Avene Very High Protection SPF 50+ Spray,1,TRUE,1,0
51,Avene Xera Calm Lipid-Replenishing Cream,1,TRUE,1,0
52,Avomine Tablet,1,TRUE,1,0
53,Aziltrend 80 Tablet,1,TRUE,1,0
54,Azisara 250mg Capsule,1,TRUE,1,0
55,Azitough 250mg Tablet,1,TRUE,1,0
56,B-Stil 8 Tablet,1,TRUE,1,0
57,Bactrim Syrup,1,TRUE,1,0
58,Bactrim Tablet,1,TRUE,1,0
59,Basiton Forte New Tablet,1,TRUE,1,0
61,Benegut Suspension,1,TRUE,1,0
62,Benegut Tablet,1,TRUE,1,0
63,Betonin Ast Syrup Sugar Free,1,TRUE,1,0
64,Betonin Kids Gummies Mixed Fruit,1,TRUE,1,0
66,Bevaxizab 400mg Injection,1,TRUE,1,0
67,Bezalip 200mg Tablet,1,TRUE,1,0
68,Bilazest 20mg Tablet,1,TRUE,1,0
69,Biosuganril 20 Tablet,1,TRUE,1,0
70,Biosuganril 5mg Tablet,1,TRUE,1,0
71,Brivetoin 25mg Tablet,1,TRUE,1,0
72,Brufen 200 Tablet,1,TRUE,1,0
73,Brufen Power Pain Relief 800 Sprays,1,TRUE,1,0
74,Bupizuva 2.5mg Injection,1,TRUE,1,0
75,C One 500mg Injection,1,TRUE,1,0
76,C One SB 250mg/125mg Injection,1,TRUE,1,0
77,CAAT 20 Tablet,1,TRUE,1,0
78,CARDULES RETARD 10MG CAPSULE,1,TRUE,1,0
79,CEFI T 500 MG/62.5 MG INJECTION,1,TRUE,1,0
80,CO Symoxyl 200 mg/28.5 mg Syrup,1,TRUE,1,0
81,Caat Asp 75 Capsule,1,TRUE,1,0
82,Caat CV 10 Capsule,1,TRUE,1,0
83,Calaptin 120 SR Tablet,1,TRUE,1,0
84,Calciluvin Syrup,1,TRUE,1,0
85,Capecite 500mg Tablet,1,TRUE,1,0
86,Cednir 300mg Capsule,1,TRUE,1,0
87,Ceemox 250mg/250mg Capsule,1,TRUE,1,0
88,Cefchamp 325 Tablet,1,TRUE,1,0
89,Cefi 100mg Tablet DT,1,TRUE,1,0
90,Cefi XL D RF 200 Tablet,1,TRUE,1,0
91,Cefotax 250mg Injection,1,TRUE,1,0
92,Cerom 125mg Dry Syrup,1,TRUE,1,0
93,Cerom CV 500mg Tablet,1,TRUE,1,0
94,Chupp 50mg/1.25mg/2mg Syrup,1,TRUE,1,0
95,Chupp Syrup,1,TRUE,1,0
96,Cifi XL D Tablet,1,TRUE,1,0
97,Ciladuo 10 Tablet,1,TRUE,1,0
98,Claribid 250 Tablet,1,TRUE,1,0
99,Clinaxon-P 400 Tablet,1,TRUE,1,0
100,Clivarine Injection,1,TRUE,1,0
101,Clome 100mg Tablet,1,TRUE,1,0
102,Collosol Iodine Liquid,1,TRUE,1,0
103,Colospa X Tablet,1,TRUE,1,0
105,Confinex 1 Tablet,1,TRUE,1,0
106,Contramal 50 Injection,1,TRUE,1,0
107,Creastim Anti-Hair Loss Lotion (30ml each),1,TRUE,1,0
108,Crema-Ano Rectal Cream,1,TRUE,1,0
109,CremaPeg Oral Solution,1,TRUE,1,0
110,Cremaffin Constipation Relief Liquid Mint,1,TRUE,1,0
113,Cremaffin Fresh Tablet,1,TRUE,1,0
114,Cremaffin Plus Syrup Refreshing Sugar Free,1,TRUE,1,0
115,Cremahep Syrup,1,TRUE,1,0
117,Crotorax Cream,1,TRUE,1,0
118,Crotorax Lotion,1,TRUE,1,0
119,Curosurf 120mg Injection,1,TRUE,1,0
120,Curosurf 80mg Injection,1,TRUE,1,0
121,Cytogan 250mg Capsule,1,TRUE,1,0
122,D3 Shot 60K Capsule,1,TRUE,1,0
123,DC 1 dose 250 mg/250 mg Injection,1,TRUE,1,0
124,DELOK 40 MG CAPSULE,1,TRUE,1,0
125,DELOK 60 MG CAPSULE,1,TRUE,1,0
126,DELORTA 5 MG TABLET,1,TRUE,1,0
127,DOLOSAN 400MG/325MG TABLET,1,TRUE,1,0
128,Dablexa 75 Capsule,1,TRUE,1,0
129,Dalium 75mg Tablet,1,TRUE,1,0
130,Day One 10mg Tablet,1,TRUE,1,0
131,Deletus Pearls Capsule,1,TRUE,1,0
132,Deletus D Syrup Strawberry,1,TRUE,1,0
133,Deletus LS Syrup Red Cherry,1,TRUE,1,0
134,Dermabond Mini Vial,1,TRUE,1,0
135,Dezoflav Tablet,1,TRUE,1,0
136,Diabeclaz 60mg Tablet MR,1,TRUE,1,0
137,Diabetrol SR Tablet,1,TRUE,1,0
138,Diclofam MR 250mg/50mg/325mg Tablet,1,TRUE,1,0
139,Diclofam SP 50 mg/10 mg Tablet,1,TRUE,1,0
140,Digene Acidity & Gas Relief Tablet Mixed Fruit,1,TRUE,1,0
141,Digene Gel On The Go Stick Pack (10ml Each) Mint,1,TRUE,1,0
142,Dilcal 60mg Tablet,1,TRUE,1,0
143,Dilcal 90mg Tablet SR,1,TRUE,1,0
144,Dirasec 30mg Powder,1,TRUE,1,0
145,Doliprane 100mg/ml Drop,1,TRUE,1,0
146,Doliprane 650mg Tablet,1,TRUE,1,0
147,Donn Plus Tablet,1,TRUE,1,0
148,Dopacard 200mg Injection,1,TRUE,1,0
149,Ducray Anaphase + Strengthening Conditioner,1,TRUE,1,0
151,Ducray Keracnyl Foaming Gel,1,TRUE,1,0
153,Durajoint GM Tablet,1,TRUE,1,0
154,Durapain 75mg/50mg Tablet,1,TRUE,1,0
156,Duvadilan Retard Capsule SR,1,TRUE,1,0
157,Duvadilan Tablet,1,TRUE,1,0
158,ERTYCIN 500MG TABLET,1,TRUE,1,0
159,ESGIPYRIN DS INJECTION,1,TRUE,1,0
160,Ebility Tablet,1,TRUE,1,0
161,Effimax Plus 500 mg/250 mg Injection,1,TRUE,1,0
162,Eldicet Tablet,1,TRUE,1,0
163,Elimcee Capsule,1,TRUE,1,0
164,Embee 200mg Suspension,1,TRUE,1,0
165,Embenor 400mg Tablet,1,TRUE,1,0
166,Embenor TZ 400 mg/600 mg Tablet,1,TRUE,1,0
167,Emthrocin 250mg Tablet,1,TRUE,1,0
168,Emthrocin Suspension,1,TRUE,1,0
170,Entamizole Plus 500mg Tablet,1,TRUE,1,0
173,Epilex Chrono 200 Tablet CR,1,TRUE,1,0
174,Epilex Chrono 500 Eazy Glide Tablet CR,1,TRUE,1,0
175,Eptoin Tablet,1,TRUE,1,0
176,Ertycin 200mg Suspension,1,TRUE,1,0
177,Esgipyrin 50 mg/500 mg Tablet,1,TRUE,1,0
178,Esgipyrin AQ 75mg Injection,1,TRUE,1,0
179,Esgipyrin-TH Tablet,1,TRUE,1,0
181,Essentiale-L 1gm Capsule,1,TRUE,1,0
182,Etody 90 Tablet,1,TRUE,1,0
183,Euglitol 50mg Tablet,1,TRUE,1,0
184,Evah 120mg Tablet,1,TRUE,1,0
185,Ezeepara 125mg Tablet,1,TRUE,1,0
186,Faceclin Gel,1,TRUE,1,0
187,Fapvir Tablet,1,TRUE,1,0
188,Femoston Mini Tablet,1,TRUE,1,0
189,Fightox Kid 200 mg/28.5 mg Tablet,1,TRUE,1,0
190,Fincef 100mg/5ml Dry Syrup,1,TRUE,1,0
192,Finecef 100mg Tablet DT,1,TRUE,1,0
193,Finecef 500mg Injection,1,TRUE,1,0
195,Finecef S 1000mg/500mg Injection,1,TRUE,1,0
196,Finecef-T 1.125gm Injection,1,TRUE,1,0
197,Flagentyl 1000mg Tablet,1,TRUE,1,0
198,Flagynor Oral Suspension,1,TRUE,1,0
199,Floxid 100mg/100mg Suspension,1,TRUE,1,0
200,Floxip 0.25% Drop,1,TRUE,1,0
201,Follihair AMPM Tablet Gluten Free,1,TRUE,1,0
202,Fortius 20 Tablet,1,TRUE,1,0
203,Fortius 40 Tablet,1,TRUE,1,0
204,Froben 100mg Tablet,1,TRUE,1,0
205,Fungizone 50mg Injection,1,TRUE,1,0
206,GABANEXT 150 MG CAPSULE,1,TRUE,1,0
207,GATRI 200 MG TABLET,1,TRUE,1,0
208,GATRI OZ 200 MG/500 MG TABLET,1,TRUE,1,0
210,Genticyn 10mg Injection,1,TRUE,1,0
211,Genticyn 40mg Injection,1,TRUE,1,0
212,Genticyn Paediatric 20mg Injection,1,TRUE,1,0
213,Gledepa 10mg Tablet,1,TRUE,1,0
214,Gledepa Met 5mg/1000mg Tablet IR,1,TRUE,1,0
